device,date,reading
BMRMUSWACC109,2004/05/01 23:50,12.34
BMRMUSWACC109,2004/05/02 00:00,12.34
BMRMUSWACC109,2004/05/02 00:10,12.34
BMRMUSWACC109,2004/05/02 00:20,12.34
BMRMUSWACC109,2004/05/02 00:30,12.34
BMRMUSWACC109,2004/05/02 00:40,12.34
BMRMUSWACC109,2004/05/02 00:50,12.34
BMRMUSWACC109,2004/05/02 01:00,12.34
BMRMUSWACC109,2004/05/02 01:10,12.06
BMRMUSWACC109,2004/05/02 01:20,12.06
BMRMUSWACC109,2004/05/02 01:30,12.06
BMRMUSWACC109,2004/05/02 01:40,11.77
BMRMUSWACC109,2004/05/02 01:50,11.77
BMRMUSWACC109,2004/05/02 02:00,11.48
BMRMUSWACC109,2004/05/02 02:10,10.62
BMRMUSWACC109,2004/05/02 02:20,10.04
BMRMUSWACC109,2004/05/02 02:30,10.04
BMRMUSWACC109,2004/05/02 02:40,9.76
BMRMUSWACC109,2004/05/02 02:50,9.76
BMRMUSWACC109,2004/05/02 03:00,9.76
BMRMUSWACC109,2004/05/02 03:10,9.76
BMRMUSWACC109,2004/05/02 03:20,9.76
BMRMUSWACC109,2004/05/02 03:30,9.76
BMRMUSWACC109,2004/05/02 03:40,9.76
BMRMUSWACC109,2004/05/02 03:50,9.76
BMRMUSWACC109,2004/05/02 04:00,9.76
BMRMUSWACC109,2007/09/20 12:00,10.0
BMRMUSWACC109,2007/09/20 12:30,10.0
BMRMUSWACC109,2007/09/20 13:00,10.5
BMRMUSWACC109,2007/09/20 13:30,10.5
BMRMUSWACC109,2007/09/20 14:00,10.5
BMRMUSWACC109,2007/09/20 14:30,11.0
BMRMUSWACC109,2007/09/20 15:00,10.5
BMRMUSWACC109,2007/09/20 15:30,11.0
BMRMUSWACC109,2007/09/20 16:00,11.0
BMRMUSWACC109,2007/09/20 16:30,12.5
BMRMUSWACC109,2007/09/20 17:00,13.0
BMRMUSWACC109,2007/09/20 17:30,14.0
BMRMUSWACC109,2007/09/20 18:00,15.0
BMRMUSWACC109,2007/09/20 18:30,19.0
BMRMUSWACC109,2007/09/20 19:00,12.5
BMRMUSWACC109,2007/09/20 19:30,12.0
BMRMUSWACC109,2007/09/20 20:00,12.0
BMRMUSWACC109,2007/09/20 20:30,12.0
BMRMUSWACC109,2007/09/20 21:00,12.5
BMRMUSWACC109,2007/09/20 21:30,12.0
BMRMUSWACC109,2007/09/20 22:00,12.0
BMRMUSWACC109,2007/09/20 22:30,12.0
BMRMUSWACC109,2007/09/20 23:00,12.0
BMRMUSWACC109,2007/09/20 23:30,12.5
BMRMUSWACC109,2007/09/21 00:00,12.5
BMRMUSWACC109,2007/09/21 00:30,12.5
BMRMUSWACC109,2007/09/21 01:00,12.5
BMRMUSWACC109,2007/09/21 01:30,12.5
BMRMUSWACC109,2007/09/21 02:00,12.0
BMRMUSWACC109,2007/09/21 02:30,12.0
BMRMUSWACC109,2007/09/21 03:00,12.0
BMRMUSWACC109,2007/09/21 03:30,12.5
BMRMUSWACC109,2007/09/21 04:00,12.5
BMRMUSWACC109,2007/09/21 04:30,12.0
BMRMUSWACC109,2007/09/21 05:00,12.5
BMRMUSWACC109,2007/09/21 05:30,11.0
BMRMUSWACC109,2007/09/21 06:00,10.0
BMRMUSWACC109,2007/09/21 06:30,9.5
BMRMUSWACC109,2007/09/21 07:00,9.5
BMRMUSWACC109,2007/09/21 07:30,10.0
BMRMUSWACC109,2007/09/21 08:00,10.0
BMRMUSWACC109,2007/09/21 08:30,9.5
BMRMUSWACC109,2007/09/21 09:00,9.5
BMRMUSWACC109,2007/09/21 09:30,9.5
BMRMUSWACC109,2007/09/21 10:00,9.5
BMRMUSWACC109,2007/09/21 10:30,9.0
BMRMUSWACC109,2007/09/21 11:00,9.5
BMRMUSWACC109,2007/09/21 11:30,10.0
BMRMUSWACC109,2007/09/21 12:00,9.0
BMRMUSWACC109,2007/09/21 12:30,9.0
BMRMUSWACC109,2007/09/21 13:00,9.0
BMRMUSWACC109,2007/09/21 13:30,9.0
BMRMUSWACC109,2007/09/21 14:00,8.5
BMRMUSWACC109,2007/09/21 14:30,10.0
BMRMUSWACC109,2007/09/21 15:00,11.0
BMRMUSWACC109,2007/09/21 15:30,12.5
BMRMUSWACC109,2007/09/21 16:00,13.0
BMRMUSWACC109,2007/09/21 16:30,13.0
BMRMUSWACC109,2007/09/21 17:00,13.5
BMRMUSWACC109,2007/09/21 17:30,14.5
BMRMUSWACC109,2007/09/21 18:00,15.0
BMRMUSWACC109,2007/09/21 18:30,15.5
BMRMUSWACC109,2007/09/21 19:00,15.5
BMRMUSWACC109,2007/09/21 19:30,15.5
BMRMUSWACC109,2007/09/21 20:00,12.5
BMRMUSWACC109,2007/09/21 20:30,11.5
BMRMUSWACC109,2007/09/21 21:00,11.5
BMRMUSWACC109,2007/09/21 21:30,11.5
BMRMUSWACC109,2007/09/21 22:00,11.5
BMRMUSWACC109,2007/09/21 22:30,11.5
BMRMUSWACC109,2007/09/21 23:00,12.0
BMRMUSWACC109,2007/09/21 23:30,11.5
BMRMUSWACC109,2007/09/22 00:00,11.5
BMRMUSWACC109,2007/09/22 00:30,11.5
BMRMUSWACC109,2007/09/22 01:00,11.5
BMRMUSWACC109,2007/09/22 01:30,11.5
